Year	Total Indian Textiles Sold in London	Baftas (white) %	Bettelles	Chintz	Derebands (white)	Dungarees	Dutties	Eckbarrees (white)	Ginghams	Guinea Stuffs	Guzzees (white)	Long Cloth (white)	Mercoolees (white)	Moorees (white)	Nassaporees	Neckcloth	Ojamas	Pautkeys	Percalles (white)	Sallamporees (white)	Sannoes (white)	Sinda Khandarah	Sovaguzzies (white)	Surasses	Synda Cloth	Taffetas (white)	Tapseiles	Calicoes (white)	Other
1631	10234	15.1	NA	NA	NA	NA	30.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	2.4	13.7	34.7
1632	83513	78.8	NA	NA	NA	NA	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA	0.3	NA	13.1
1633	62824	87.3	NA	NA	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6
1643	43452	NA	NA	NA	15.9	NA	NA	11.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.6	NA	NA	59.6	5
1644	10821	NA	NA	10.3	43.8	NA	NA	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	NA	NA	18.4	3.9
1649	36727	0.9	NA	NA	NA	NA	8.3	NA	6.8	7.5	NA	4.8	NA	19.5	NA	NA	NA	NA	NA	27.6	3.8	NA	NA	NA	NA	NA	NA	NA	20.8
1650	55498	11.7	NA	NA	25.3	NA	NA	NA	NA	NA	10.6	2	20.5	1.8	NA	NA	8.5	NA	NA	0.01	NA	10.3	NA	NA	NA	NA	NA	NA	9.29
1657	14850	12.1	NA	NA	18.8	NA	NA	NA	NA	16.1	NA	3.4	NA	2.7	NA	NA	NA	NA	NA	28.3	NA	NA	NA	NA	NA	NA	NA	NA	18.6
1659	34272	NA	NA	NA	NA	NA	NA	NA	NA	12.4	NA	16.2	NA	14	NA	NA	NA	NA	NA	44.2	5.6	NA	NA	NA	NA	NA	NA	NA	7.6
1660	186014	46.7	NA	NA	7.4	NA	4.2	NA	NA	2.1	NA	1.1	NA	NA	5.7	NA	NA	NA	NA	4.2	NA	NA	NA	NA	NA	NA	NA	4.3	24.3
1661	113279	21.8	NA	NA	NA	NA	NA	NA	NA	2.4	NA	13.4	NA	12.7	NA	NA	NA	NA	6	33.9	NA	NA	NA	NA	NA	NA	NA	NA	9.8
1662	87130	20.1	NA	17.5	NA	NA	NA	NA	NA	11.8	NA	14	NA	7.4	NA	NA	NA	NA	NA	16.6	NA	NA	NA	NA	NA	NA	NA	NA	12.6
1663	220617	10.2	NA	9	NA	NA	NA	NA	NA	10.2	NA	10.2	NA	11.3	NA	6.4	NA	NA	5.1	24.7	NA	NA	NA	NA	NA	NA	NA	NA	12.9
1664	35522	NA	12.8	NA	NA	NA	NA	NA	NA	NA	NA	9.8	NA	NA	NA	NA	NA	NA	28.1	38.2	NA	NA	NA	NA	NA	9.1	NA	NA	2
1665	119323	14.3	NA	NA	NA	14	NA	NA	NA	7.7	NA	6.2	NA	NA	NA	NA	NA	NA	10.7	14.5	NA	NA	5.5	NA	NA	NA	NA	NA	27.1
1666	109542	13.3	NA	NA	4.9	13.5	NA	NA	NA	5.4	NA	5.6	NA	9.4	NA	NA	NA	NA	4.5	14	NA	NA	5.5	NA	NA	NA	NA	NA	23.9
1669	240255	25.6	NA	NA	11.3	NA	NA	NA	NA	9.5	NA	13.1	6	NA	NA	NA	NA	NA	NA	8.3	NA	NA	5.3	NA	NA	NA	NA	NA	20.9
1670	385095	27.6	NA	NA	4.7	NA	NA	NA	NA	7.9	NA	11.1	NA	5.9	NA	NA	NA	5.1	NA	12.2	NA	NA	NA	NA	NA	NA	NA	NA	25.5
1671	380382	17.8	3.7	NA	NA	9.6	NA	NA	NA	5.9	NA	6.7	NA	NA	NA	NA	NA	10.1	NA	15.5	3.5	NA	NA	NA	NA	NA	NA	NA	27.2
1672	199291	31.3	NA	NA	NA	10.6	NA	NA	NA	11.6	NA	9.2	NA	NA	NA	NA	NA	6.4	4.8	7.2	NA	NA	5.6	NA	NA	NA	NA	NA	13.3
